Wall time,Step,Value
1673930987.424603,0,35.0
1673931080.5075128,1,40.0
1673931173.0688205,2,50.0
1673931264.720114,3,56.25
1673931359.1051161,4,60.0
1673931452.1019397,5,63.75
1673931545.4054394,6,68.75
1673931639.4966998,7,66.25
1673931739.7414627,8,66.25
1673931840.4318588,9,75.0
1673931941.7415028,10,51.25
1673932041.5640163,11,63.75
1673932139.5835123,12,62.5
1673932237.8541083,13,68.75
1673932336.1667402,14,66.25
1673932435.9092286,15,76.25
1673932532.5406535,16,83.75
1673932630.4367874,17,83.75
1673932728.8057842,18,85.0
1673932852.5804513,19,77.5
1673932951.1200705,20,81.25
1673933049.3384197,21,78.75
1673933148.2265613,22,82.5
1673933246.5730498,23,87.5
1673933344.2991927,24,82.5
1673933442.4683545,25,82.5
1673933540.444258,26,90.0
1673933638.0832045,27,86.25
1673933735.7469726,28,82.5
1673933833.478047,29,86.25
1673933931.3845675,30,93.75
1673934029.3591483,31,81.25
1673934125.6772215,32,81.25
1673934217.3946333,33,85.0
1673934310.2226436,34,87.5
1673934403.1017804,35,90.0
1673934498.3578644,36,97.5
1673934593.3755069,37,90.0
1673934686.9819,38,91.25
1673934782.3209107,39,90.0
1673934872.8638449,40,88.75
1673934963.1068854,41,93.75
1673935052.9963534,42,87.5
1673935143.382231,43,88.75
1673935237.826011,44,88.75
1673935332.0818887,45,88.75
1673935429.2230635,46,81.25
1673935522.2323065,47,97.5
1673935616.7525718,48,96.25
1673935710.8821714,49,95.0
1673935807.331031,50,86.25
1673935902.6222937,51,93.75
1673935996.4154112,52,93.75
1673936090.16521,53,93.75
1673936184.3855588,54,91.25
1673936278.871672,55,92.5
1673936371.9472742,56,92.5
1673936464.637859,57,98.75
1673936560.2674565,58,90.0
1673936653.6964586,59,91.25
1673936747.2762828,60,87.5
1673936842.746037,61,95.0
1673936935.5966828,62,93.75
1673937028.191945,63,87.5
1673937120.6073234,64,91.25
1673937214.0962512,65,93.75
1673937308.1145124,66,95.0
1673937401.4823554,67,90.0
1673937494.7207062,68,92.5
1673937588.8395424,69,88.75
1673937690.9383836,70,93.75
1673937787.4687912,71,90.0
1673937881.3190587,72,93.75
1673937974.2237434,73,93.75
1673938067.8492038,74,95.0
1673938161.2965527,75,90.0
1673938254.6414807,76,90.0
1673938347.396821,77,85.0
1673938440.6253362,78,96.25
1673938533.5764601,79,96.25
1673938626.9071932,80,100.0
1673938722.0635128,81,97.5
1673938814.6881814,82,98.75
1673938908.616175,83,97.5
1673939003.6503098,84,97.5
1673939097.427549,85,97.5
1673939193.534345,86,100.0
1673939289.0482285,87,98.75
1673939384.902126,88,100.0
1673939480.0297735,89,96.25
1673939574.8684356,90,100.0
1673939669.3690937,91,100.0
1673939765.3714888,92,97.5
1673939859.3260596,93,97.5
1673939954.4424748,94,100.0
1673940048.004594,95,100.0
1673940142.036094,96,97.5
1673940240.550599,97,100.0
1673940339.5556984,98,100.0
1673940434.974278,99,98.75
1673940534.917057,100,100.0
1673940632.364965,101,100.0
1673940728.647026,102,96.25
1673940822.7072852,103,100.0
1673940917.2764246,104,100.0
1673941012.0021331,105,100.0
1673941107.1946077,106,100.0
1673941201.8108547,107,98.75
1673941296.8690438,108,100.0
1673941391.1569426,109,97.5
1673941484.067957,110,100.0
1673941577.006221,111,98.75
1673941669.9113123,112,100.0
1673941762.7220912,113,98.75
1673941855.6735866,114,100.0
1673941949.1539094,115,100.0
1673942042.00091,116,100.0
1673942135.7847676,117,100.0
1673942229.9168878,118,100.0
1673942325.194845,119,100.0
1673942417.3076062,120,98.75
1673942509.7562692,121,98.75
1673942606.9163423,122,100.0
1673942701.6699376,123,100.0
1673942794.080106,124,98.75
1673942886.4828703,125,100.0
1673942981.7649539,126,98.75
1673943078.9028754,127,100.0
1673943171.1618567,128,100.0
1673943264.9088283,129,98.75
1673943359.2577853,130,100.0
1673943453.4501324,131,100.0
1673943549.3743558,132,100.0
1673943646.4388695,133,100.0
1673943752.9138684,134,100.0
1673943847.6677873,135,100.0
1673943943.236648,136,100.0
1673944042.0029902,137,100.0
1673944138.710252,138,100.0
1673944236.461918,139,100.0
1673944334.850388,140,100.0
1673944431.7825987,141,100.0
1673944528.8677726,142,98.75
1673944623.2498162,143,98.75
1673944717.4243467,144,100.0
1673944811.148985,145,100.0
1673944903.9304829,146,100.0
1673944996.6326308,147,100.0
1673945091.3646264,148,100.0
1673945184.4579082,149,98.75
1673945277.1419227,150,100.0
1673945369.806764,151,100.0
1673945462.8769536,152,100.0
1673945556.3414698,153,100.0
1673945649.2556512,154,98.75
1673945742.8144767,155,100.0
1673945835.745793,156,100.0
1673945928.65407,157,100.0
1673946021.697131,158,100.0
1673946115.2635489,159,98.75
