Wall time,Step,Value
1673929683.1128256,0,2.3075733184814453
1673929750.4058964,1,2.303056478500366
1673929817.6401029,2,2.2924482822418213
1673929885.7926645,3,2.2632133960723877
1673929953.420925,4,2.2629997730255127
1673930021.4964705,5,2.2575113773345947
1673930090.5134356,6,2.247166633605957
1673930158.7918649,7,2.2342963218688965
1673930227.7360585,8,2.187234878540039
1673930296.2967489,9,2.0962586402893066
1673930364.941806,10,2.227980375289917
1673930434.0195556,11,2.0700430870056152
1673930502.1657455,12,1.9609254598617554
1673930570.686999,13,1.9095858335494995
1673930639.8976126,14,1.8456573486328125
1673930708.0766547,15,1.8233195543289185
1673930776.479341,16,1.7769389152526855
1673930845.789505,17,1.7572425603866577
1673930914.3374624,18,1.6951450109481812
1673930982.8661902,19,1.640505313873291
1673931052.2973921,20,1.5873401165008545
1673931121.1150153,21,1.5202062129974365
1673931189.8280654,22,1.4361871480941772
1673931259.231081,23,1.3883094787597656
1673931327.9602346,24,1.2814992666244507
1673931396.5024996,25,1.1693472862243652
1673931465.9432697,26,1.0775344371795654
1673931534.7281423,27,0.9983062744140625
1673931603.1658306,28,0.9252194166183472
1673931672.4173946,29,0.8666774034500122
1673931740.354509,30,0.8298021554946899
1673931808.6408796,31,0.7845900058746338
1673931877.712846,32,0.7534103989601135
1673931945.8000119,33,0.7335236668586731
1673932014.065537,34,0.7003167867660522
1673932082.9399316,35,0.6781614422798157
1673932151.0547895,36,0.6562603116035461
1673932218.987893,37,0.6414872407913208
1673932287.5937364,38,0.6214142441749573
1673932355.2234697,39,0.6102100610733032
1673932423.0617166,40,0.5938313007354736
1673932491.7128212,41,0.5778694748878479
1673932559.5957007,42,0.5730220675468445
1673932627.2123609,43,0.5566393733024597
1673932695.5854356,44,0.5432325601577759
1673932763.3123717,45,0.5286215543746948
1673932830.830004,46,0.52882981300354
1673932898.748813,47,0.5152367353439331
1673932965.8746772,48,0.5058355331420898
1673933032.8767257,49,0.49974048137664795
1673933101.053677,50,0.4884588122367859
1673933167.8768191,51,0.4771990180015564
1673933234.8193552,52,0.4748310148715973
1673933302.423976,53,0.4742234945297241
1673933369.1087587,54,0.4591682553291321
1673933436.1967473,55,0.45429959893226624
1673933503.275061,56,0.44659096002578735
1673933569.7380362,57,0.4386211633682251
1673933636.9664774,58,0.43704867362976074
1673933703.5882754,59,0.43406784534454346
